	SampleID	Source.Name	Comment.ENA_SAMPLE.	Material.Type	Provider	Characteristics.organism.	Characteristics.specimen.with.known.storage.state.	Characteristics.genotype.	Characteristics.organism.part.	Characteristics.cell.property.	Characteristics.developmental.stage.	Characteristics.cell.type.	Characteristics.phenotype.	Protocol.REF	Protocol.REF.1	Protocol.REF.2	Extract.Name	Material.Type.1	Comment.LIBRARY_LAYOUT.	Comment.LIBRARY_SOURCE.	Comment.LIBRARY_STRATEGY.	Comment.LIBRARY_SELECTION.	Comment.NOMINAL_LENGTH.	Comment.ORIENTATION.	Protocol.REF.3	Performer	Assay.Name	Technology.Type	Comment.ENA_EXPERIMENT.	Scan.Name	Comment.SUBMITTED_FILE_NAME.	Comment.ENA_RUN.	Comment.FASTQ_URI.	Comment.MD5.	Comment.READ_INDEX_1_BASE_COORD.	Comment.SPOT_LENGTH.	Factor.Value.cell.type.
61	ERR431574	SQ_0176	ERS403426	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0176	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	416	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0176	sequencing assay	ERX397891	SQ_0176_R1.fastq.gz	SQ_0176_R1.fastq.gz	ERR431574	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431574/ERR431574_1.fastq.gz	5e0879edf390d3f8eb1f4a5ff7157068	102	101	CD4 Naive
60	ERR431581	SQ_0175	ERS403405	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0175	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	410	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0175	sequencing assay	ERX397870	SQ_0175_R1.fastq.gz	SQ_0175_R1.fastq.gz	ERR431581	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431581/ERR431581_1.fastq.gz	d89d28d74eea6595528d2eb98d3cc4c2	102	101	CD4 Naive
39	ERR431588	SQ_0154	ERS403381	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Effector Memory	CD4+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0154	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	447	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0154	sequencing assay	ERX397846	SQ_0154_R1.fastq.gz	SQ_0154_R1.fastq.gz	ERR431588	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431588/ERR431588_1.fastq.gz	b86af00985523af07c18237d4489715a	102	101	CD4 Effector Memory
14	ERR431595	SQ_0053	ERS403404	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0053	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	464	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0053	sequencing assay	ERX397869	SQ_0053_R1.fastq.gz	SQ_0053_R1.fastq.gz	ERR431595	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431595/ERR431595_1.fastq.gz	932af311855b14ca65c1f64c3b52b93c	102	101	CD4 Th17
48	ERR431602	SQ_0163	ERS403423	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Central Memory	CD8+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0163	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	445	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0163	sequencing assay	ERX397888	SQ_0163_R1.fastq.gz	SQ_0163_R1.fastq.gz	ERR431602	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431602/ERR431602_1.fastq.gz	1dcc3f400d363b2fd2acc045fcc051d1	102	101	CD8 Central Memory
7	ERR431609	SQ_0023	ERS403435	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0023	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0023	sequencing assay	ERX397900	SQ_0023_R1.fastq.gz	SQ_0023_R1.fastq.gz	ERR431609	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431609/ERR431609_1.fastq.gz	c3435337bcee5dad1524d6af609f47f3	102	101	CD4 Treg
37	ERR431616	SQ_0152	ERS403391	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Effector Memory	CD4+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0152	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	448	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0152	sequencing assay	ERX397856	SQ_0152_R1.fastq.gz	SQ_0152_R1.fastq.gz	ERR431616	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431616/ERR431616_1.fastq.gz	fa8142a86278ee0a7d7871f452d132fe	102	101	CD4 Effector Memory
42	ERR431623	SQ_0157	ERS403424	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Naive	CD8+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0157	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	458	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0157	sequencing assay	ERX397889	SQ_0157_R1.fastq.gz	SQ_0157_R1.fastq.gz	ERR431623	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431623/ERR431623_1.fastq.gz	f703e173e120b6c174b88e1332f62d62	102	101	CD8 Naive
58	ERR431568	SQ_0173	ERS403393	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B CD5	CD19+ CD5+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0173	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	356	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0173	sequencing assay	ERX397858	SQ_0173_R1.fastq.gz	SQ_0173_R1.fastq.gz	ERR431568	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431568/ERR431568_1.fastq.gz	7e2b526384c9e699995965f5c33ada29	102	101	B CD5
38	ERR431575	SQ_0153	ERS403414	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Effector Memory	CD4+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0153	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	372	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0153	sequencing assay	ERX397879	SQ_0153_R1.fastq.gz	SQ_0153_R1.fastq.gz	ERR431575	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431575/ERR431575_1.fastq.gz	97574038d99b82af0e57a0a588efe9e3	102	101	CD4 Effector Memory
30	ERR431582	SQ_0145	ERS403433	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0145	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	439	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0145	sequencing assay	ERX397898	SQ_0145_R1.fastq.gz	SQ_0145_R1.fastq.gz	ERR431582	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431582/ERR431582_1.fastq.gz	c2789714f072cb235b52f52aa3765df0	102	101	CD4 Central Memory
20	ERR431589	SQ_0067	ERS403428	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0067	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	444	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0067	sequencing assay	ERX397893	SQ_0067_R1.fastq.gz	SQ_0067_R1.fastq.gz	ERR431589	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431589/ERR431589_1.fastq.gz	d36596f9f35d041225666659e6494cf7	102	101	CD4 Treg
56	ERR431596	SQ_0171	ERS403419	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B CD5	CD19+ CD5+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0171	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	459	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0171	sequencing assay	ERX397884	SQ_0171_R1.fastq.gz	SQ_0171_R1.fastq.gz	ERR431596	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431596/ERR431596_1.fastq.gz	09eef4d1b13d55f319c1ec3c9013557a	102	101	B CD5
36	ERR431603	SQ_0151	ERS403437	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Effector Memory	CD4+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0151	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	446	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0151	sequencing assay	ERX397902	SQ_0151_R1.fastq.gz	SQ_0151_R1.fastq.gz	ERR431603	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431603/ERR431603_1.fastq.gz	7c19f8c142aeb720994b5036140d5458	102	101	CD4 Effector Memory
22	ERR431610	SQ_0081	ERS403383	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0081	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	516	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0081	sequencing assay	ERX397848	SQ_0081_R1.fastq.gz	SQ_0081_R1.fastq.gz	ERR431610	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431610/ERR431610_1.fastq.gz	8c2755f9d2d7c95334bceacd3920e60b	102	101	CD4 Naive
25	ERR431617	SQ_0098	ERS403430	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0098	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	466	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0098	sequencing assay	ERX397895	SQ_0098_R1.fastq.gz	SQ_0098_R1.fastq.gz	ERR431617	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431617/ERR431617_1.fastq.gz	e14af4009f6c483665016e7ffefa8696	102	101	B Memory
26	ERR431624	SQ_0130	ERS403388	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0130	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0130	sequencing assay	ERX397853	SQ_0130_R1.fastq.gz	SQ_0130_R1.fastq.gz	ERR431624	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431624/ERR431624_1.fastq.gz	196185df3807b3fc4893ef891e78299e	102	101	B Naive
27	ERR431569	SQ_0132	ERS403395	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0132	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0132	sequencing assay	ERX397860	SQ_0132_R1.fastq.gz	SQ_0132_R1.fastq.gz	ERR431569	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431569/ERR431569_1.fastq.gz	e1e4638c650403be121b8c7400965875	102	101	B Memory
35	ERR431576	SQ_0150	ERS403434	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Effector Memory	CD4+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0150	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	386	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0150	sequencing assay	ERX397899	SQ_0150_R1.fastq.gz	SQ_0150_R1.fastq.gz	ERR431576	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431576/ERR431576_1.fastq.gz	da4383e274fd221b224d1d79f535d20d	102	101	CD4 Effector Memory
5	ERR431583	SQ_0021	ERS403436	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0021	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0021	sequencing assay	ERX397901	SQ_0021_R1.fastq.gz	SQ_0021_R1.fastq.gz	ERR431583	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431583/ERR431583_1.fastq.gz	1f30880aa773dcc912b2e7c6db2ae6fe	102	101	CD4 Treg
53	ERR431590	SQ_0168	ERS403421	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Effector Memory	CD8+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0168	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	445	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0168	sequencing assay	ERX397886	SQ_0168_R1.fastq.gz	SQ_0168_R1.fastq.gz	ERR431590	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431590/ERR431590_1.fastq.gz	dfa8e5daa7a81686f8b87f358a0a0144	102	101	CD8 Effector Memory
