Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell property]	Characteristics[developmental stage]	Characteristics[cell type]	Characteristics[phenotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Factor Value[cell type]
SQ_0051	ERS403412	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0051	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0051	sequencing assay	ERX397877	SQ_0051_R1.fastq.gz	SQ_0051_R1.fastq.gz	ERR431625	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431625/ERR431625_1.fastq.gz	f914263c316abe4a76a0be9cae83688d	102	101	CD4 Th17
SQ_0052	ERS403389	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0052	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	474	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0052	sequencing assay	ERX397854	SQ_0052_R1.fastq.gz	SQ_0052_R1.fastq.gz	ERR431604	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431604/ERR431604_1.fastq.gz	541a38bcf25e8ef135638e19329955a9	102	101	CD4 Th17
SQ_0053	ERS403404	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0053	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	464	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0053	sequencing assay	ERX397869	SQ_0053_R1.fastq.gz	SQ_0053_R1.fastq.gz	ERR431595	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431595/ERR431595_1.fastq.gz	932af311855b14ca65c1f64c3b52b93c	102	101	CD4 Th17
SQ_0055	ERS403396	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0055	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	452	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0055	sequencing assay	ERX397861	SQ_0055_R1.fastq.gz	SQ_0055_R1.fastq.gz	ERR431618	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431618/ERR431618_1.fastq.gz	24b085bc666451f2a7bb6dc10fc45d82	102	101	CD4 Th17
SQ_0056	ERS403376	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0056	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	441	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0056	sequencing assay	ERX397841	SQ_0056_R1.fastq.gz	SQ_0056_R1.fastq.gz	ERR431600	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431600/ERR431600_1.fastq.gz	1f842caa6dcaf869e89c161e5edb0091	102	101	CD4 Th2
SQ_0058	ERS403420	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0058	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	452	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0058	sequencing assay	ERX397885	SQ_0058_R1.fastq.gz	SQ_0058_R1.fastq.gz	ERR431566	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431566/ERR431566_1.fastq.gz	e97df4f316ef5c93112080b6abad0a21	102	101	CD4 Th2
SQ_0059	ERS403417	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0059	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0059	sequencing assay	ERX397882	SQ_0059_R1.fastq.gz	SQ_0059_R1.fastq.gz	ERR431615	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431615/ERR431615_1.fastq.gz	7335cfb761dea55f485c63b313a14569	102	101	CD4 Th2
SQ_0065	ERS403410	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0065	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	449	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0065	sequencing assay	ERX397875	SQ_0065_R1.fastq.gz	SQ_0065_R1.fastq.gz	ERR431601	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431601/ERR431601_1.fastq.gz	8aae8956187b8fdfd0ba12701feb173b	102	101	CD4 Treg
SQ_0067	ERS403428	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0067	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	444	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0067	sequencing assay	ERX397893	SQ_0067_R1.fastq.gz	SQ_0067_R1.fastq.gz	ERR431589	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431589/ERR431589_1.fastq.gz	d36596f9f35d041225666659e6494cf7	102	101	CD4 Treg
SQ_0080	ERS403411	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0080	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	474	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0080	sequencing assay	ERX397876	SQ_0080_R1.fastq.gz	SQ_0080_R1.fastq.gz	ERR431580	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431580/ERR431580_1.fastq.gz	fae7538f3170a02b65de92b1a92dabb2	102	101	CD4 Naive
SQ_0081	ERS403383	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0081	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	516	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0081	sequencing assay	ERX397848	SQ_0081_R1.fastq.gz	SQ_0081_R1.fastq.gz	ERR431610	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431610/ERR431610_1.fastq.gz	8c2755f9d2d7c95334bceacd3920e60b	102	101	CD4 Naive
SQ_0082	ERS403401	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0082	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	455	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0082	sequencing assay	ERX397866	SQ_0082_R1.fastq.gz	SQ_0082_R1.fastq.gz	ERR431571	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431571/ERR431571_1.fastq.gz	7eba33bd1d15f500a8f9d8e4904e5f7c	102	101	CD4 Naive
SQ_0096	ERS403378	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0096	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	453	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0096	sequencing assay	ERX397843	SQ_0096_R1.fastq.gz	SQ_0096_R1.fastq.gz	ERR431572	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431572/ERR431572_1.fastq.gz	2290a10e3a768befb7a775c14529ddd0	102	101	B Naive
SQ_0098	ERS403430	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0098	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	466	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0098	sequencing assay	ERX397895	SQ_0098_R1.fastq.gz	SQ_0098_R1.fastq.gz	ERR431617	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431617/ERR431617_1.fastq.gz	e14af4009f6c483665016e7ffefa8696	102	101	B Memory
SQ_0130	ERS403388	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0130	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0130	sequencing assay	ERX397853	SQ_0130_R1.fastq.gz	SQ_0130_R1.fastq.gz	ERR431624	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431624/ERR431624_1.fastq.gz	196185df3807b3fc4893ef891e78299e	102	101	B Naive
SQ_0132	ERS403395	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0132	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0132	sequencing assay	ERX397860	SQ_0132_R1.fastq.gz	SQ_0132_R1.fastq.gz	ERR431569	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431569/ERR431569_1.fastq.gz	e1e4638c650403be121b8c7400965875	102	101	B Memory
SQ_0134	ERS403380	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0134	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	414	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0134	sequencing assay	ERX397845	SQ_0134_R1.fastq.gz	SQ_0134_R1.fastq.gz	ERR431619	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431619/ERR431619_1.fastq.gz	f3507414764121bfcabb9fb89daaea2e	102	101	B Naive
SQ_0136	ERS403438	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0136	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	443	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0136	sequencing assay	ERX397903	SQ_0136_R1.fastq.gz	SQ_0136_R1.fastq.gz	ERR431594	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431594/ERR431594_1.fastq.gz	47253acbddc5a6ec74f5add111590ac6	102	101	B Memory
SQ_0145	ERS403433	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0145	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	439	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0145	sequencing assay	ERX397898	SQ_0145_R1.fastq.gz	SQ_0145_R1.fastq.gz	ERR431582	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431582/ERR431582_1.fastq.gz	c2789714f072cb235b52f52aa3765df0	102	101	CD4 Central Memory
SQ_0146	ERS403431	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0146	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	433	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0146	sequencing assay	ERX397896	SQ_0146_R1.fastq.gz	SQ_0146_R1.fastq.gz	ERR431626	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431626/ERR431626_1.fastq.gz	ff82604ca2aef447e50203d039d0b4fd	102	101	CD4 Central Memory
SQ_0147	ERS403384	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0147	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5'-3'-3'-5'	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0147	sequencing assay	ERX397849	SQ_0147_R1.fastq.gz	SQ_0147_R1.fastq.gz	ERR431620	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431620/ERR431620_1.fastq.gz	b415018d2cd1877be2352be82ba45ae7	102	101	CD4 Central Memory
